period;id;flattr url;url;title;clicks;revenue;clicks total
2014-10;3460866;"https://flattr.com/thing/3460866/KNS025-Flucht-nach-vorn-in-die-Botanik";"http://www.konscience.de/2014/09/kns025-flucht-nach-vorn-in-die-botanik/";"KNS025 – Flucht nach vorn in die Botanik";7;5,38;31
2014-10;1214915;"https://flattr.com/thing/1214915/KonScience";"http://www.konscience.de/";"KonScience";18;3,50;257
2014-10;1208916;"https://flattr.com/thing/1208916/KonScience";"https://flattr.com/profile/KonScience";"KonScience";7;2,40;85
2014-10;2991529;"https://flattr.com/thing/2991529/KNS020-Jubilumssendung-mit-Methodisch-inkorrekt";"http://www.konscience.de/2014/05/kns020-jubilaeumssendung-mit-methodisch-inkorrekt/";"KNS020 – Jubiläumssendung mit Methodisch inkorrekt";1;2,25;14
2014-10;3301152;"https://flattr.com/thing/3301152/KNS024-Wie-kam-das-bloss-durch-die-Ethikkommission";"http://www.konscience.de/2014/08/kns024-wie-kam-das-bloss-durch-die-ethikkommission/";"KNS024 – Wie kam das bloß durch die Ethikkommission?";2;0,32;30
2014-10;1224259;"https://flattr.com/thing/1224259/KNS000-Teaser";"http://www.konscience.de/2013/03/kns000-teaser/";"KNS000 – Teaser";2;0,13;14
2014-10;3296189;"https://flattr.com/thing/3296189/KNS002-Podcast-Krabbelgruppe-und-Katrins-Projekt";"http://www.konscience.de/2013/04/kns002-podcast-krabbelgruppe-und-katrins-projekt/";"KNS002 – Podcast-Krabbelgruppe und Katrins Projekt";2;0,13;3
2014-10;3269368;"https://flattr.com/thing/3269368/KNS001-Der-Anfang-ist-gemacht";"http://www.konscience.de/2013/04/kns001-der-anfang-ist-gemacht/";"KNS001 – Der Anfang ist gemacht";2;0,13;3
2014-10;3504062;"https://flattr.com/thing/3504062/Tweet-by-KonSciencePod-4-Oct";"http://twitter.com/KonSciencePod/status/518432584016359424";"Tweet by @KonSciencePod, 4 Oct";1;0,12;1
2014-10;1492271;"https://flattr.com/thing/1492271/KNS005-OMG-its-full-of-genetics";"http://www.konscience.de/2013/06/kns005-omg-its-full-of-genetics/";"KNS005 – OMG, it’s full of genetics!";1;0,07;12
2014-10;1397469;"https://flattr.com/thing/1397469/KNS004-Wirbeltiere-haben-Rckgrat";"http://www.konscience.de/2013/05/kns004-wirbeltiere-haben-ruckgrat/";"KNS004 – Wirbeltiere haben Rückgrat";1;0,07;13
2014-10;1330156;"https://flattr.com/thing/1330156/KNS003-Klarer-Fall-von-Anthropozn";"http://www.konscience.de/2013/05/kns003-klarer-fall-von-anthropozan/";"KNS003 – Klarer Fall von Anthropozän";1;0,07;12
2014-10;1624263;"https://flattr.com/thing/1624263/KNS006-Nacktmulle-an-die-Macht";"http://www.konscience.de/2013/07/kns006-nacktmulle-an-die-macht/";"KNS006 – Nacktmulle an die Macht";1;0,07;16
